model,train_val,parameters,n_features,ssr,r2,r2adj,mae,rmse,VIF,percBias,region,clust_method
strd_lasso,train,alpha0.01,26,21.07007724,0.791231598,0.773608291,0.159727657,0.250790257,31.26381954,1.39E-14,NorthEast,Ecoregion
strd_lasso,valin,alpha0.01,26,49.176144,0.645207399,0.615257374,0.308095198,0.383137651,31.74725512,-10.81467507,NorthEast,Ecoregion
strd_lasso,valnit,alpha0.01,26,18.51073226,0.605976688,0.463690492,0.316218363,0.43240848,41.1600933,0.455319726,NorthEast,Ecoregion
strd_mlr,train,forwardklim80,13,22.0187483,0.781831891,0.772996423,0.169629167,0.256373959,14.62089559,8.75E-14,NorthEast,Ecoregion
strd_mlr,valin,forwardklim80,13,19.87355188,0.856617689,0.850810929,0.171670911,0.243565259,14.66433119,8.57E-14,NorthEast,Ecoregion
strd_mlr,valnit,forwardklim80,13,15.31538762,0.673993461,0.624133638,0.269301454,0.393320334,13.42063467,-3.65E-14,NorthEast,Ecoregion
strd_PCA_lasso,train,alpha0.01nc31,27,24.25370154,0.75968733,0.73855234,0.176970804,0.269070825,1,7.29E-15,NorthEast,Ecoregion
strd_PCA_lasso,valin,alpha0.01nc31,27,54.47503012,0.606977366,0.572411857,0.322502116,0.40325182,1.217136285,-10.80300697,NorthEast,Ecoregion
strd_PCA_lasso,valnit,alpha0.01nc31,27,21.10250768,0.550807615,0.379987976,0.337701111,0.461688903,14.57954574,-0.965434166,NorthEast,Ecoregion
strd_PCA_mlr,train,alpha0.01nc31,15,26.3560186,0.738856966,0.726577513,0.192726273,0.280490075,1,6.94E-15,NorthEast,Ecoregion
strd_PCA_mlr,valin,alpha0.01nc31,15,56.95562725,0.589080527,0.569758295,0.325749779,0.412330932,1.051582308,-10.77585026,NorthEast,Ecoregion
strd_PCA_mlr,valnit,alpha0.01nc31,15,19.73203314,0.579979822,0.504072561,0.326379614,0.446445367,4.021078613,-2.695028205,NorthEast,Ecoregion
regr_precip,train,none,1,31.81824246,0.01064358,0.000337784,0.443795272,0.569803425,1,9.86E-15,SECstPlain,Ecoregion
regr_precip,valin,none,1,42.37285241,-0.044033638,-0.054908989,0.56198605,0.657553074,1,16.951211,SECstPlain,Ecoregion
regr_precip,valnit,none,1,10.68611216,-0.004118556,-0.032010738,0.466578126,0.530295651,1,-7.891121655,SECstPlain,Ecoregion
raw_lasso,train,alpha0.05,30,5.504104338,0.828855382,0.752223463,0.1751018,0.236990147,155.3691763,6.71E-14,SECstPlain,Ecoregion
raw_lasso,valin,alpha0.05,30,16.80128952,0.586029488,0.400669557,0.345445164,0.414055226,145.6321084,20.0677518,SECstPlain,Ecoregion
raw_lasso,valnit,alpha0.05,30,6.762846315,0.364530395,-2.358910769,0.315239249,0.42186448,214.8533859,-6.221595608,SECstPlain,Ecoregion
raw_mlr,train,forwardklim80,6,9.203490011,0.713826685,0.694958115,0.23537506,0.306452547,1.276730817,-3.33E-15,SECstPlain,Ecoregion
raw_mlr,valin,forwardklim80,6,16.98595964,0.581479362,0.553884594,0.354746231,0.416324535,1.276177814,19.43962011,SECstPlain,Ecoregion
raw_mlr,valnit,forwardklim80,6,9.174374543,0.13793159,-0.02892036,0.335930138,0.491356194,1.463097512,-3.038544631,SECstPlain,Ecoregion
strd_lasso,train,alpha0.01,32,4.972779592,0.845376393,0.769254002,0.164721929,0.22526129,40.69604838,2.14E-14,SECstPlain,Ecoregion
strd_lasso,valin,alpha0.01,32,15.05736005,0.628998533,0.446351657,0.333476603,0.391977718,37.26154624,19.62756057,SECstPlain,Ecoregion
strd_lasso,valnit,alpha0.01,32,5.06413709,0.524149294,-2.521295227,0.280775912,0.365057209,,-5.811264732,SECstPlain,Ecoregion
strd_mlr,train,forwardklim80,6,9.203490011,0.713826685,0.694958115,0.23537506,0.306452547,1.276730817,-3.33E-15,SECstPlain,Ecoregion
strd_mlr,valin,forwardklim80,6,9.946007007,0.754938238,0.738780319,0.253508355,0.318574744,1.276177814,-3.15E-14,SECstPlain,Ecoregion
strd_mlr,valnit,forwardklim80,6,3.49007028,0.672056191,0.608583195,0.232435643,0.303057676,1.463097512,-7.53E-15,SECstPlain,Ecoregion
strd_PCA_lasso,train,alpha0.01nc23,19,6.480374979,0.798499223,0.7494157,0.192394078,0.257150297,1,1.92E-14,SECstPlain,Ecoregion
strd_PCA_lasso,valin,alpha0.01nc23,19,15.96532647,0.606626957,0.510805319,0.345514897,0.403622961,1.057413439,19.0280956,SECstPlain,Ecoregion
strd_PCA_lasso,valnit,alpha0.01nc23,19,5.669558372,0.467260995,-0.095074622,0.291888512,0.38626274,13.34687256,-5.876221687,SECstPlain,Ecoregion
strd_PCA_mlr,train,alpha0.01nc23,11,7.538501996,0.765597822,0.735616148,0.214460182,0.277350842,1,1.82E-14,SECstPlain,Ecoregion
strd_PCA_mlr,valin,alpha0.01nc23,11,16.31400228,0.59803586,0.546621843,0.351858977,0.408006631,1.018945804,19.45278255,SECstPlain,Ecoregion
strd_PCA_mlr,valnit,alpha0.01nc23,11,5.613760159,0.472504063,0.249332706,0.298669697,0.384357295,2.820408324,-4.545585239,SECstPlain,Ecoregion
regr_precip,train,none,1,65.98403344,0.415551726,0.414017741,0.336355463,0.415068755,1,-1.50E-14,EastHghlnds,Ecoregion
regr_precip,valin,none,1,70.05234452,0.364355255,0.362686897,0.323629838,0.427673116,1,-7.555756474,EastHghlnds,Ecoregion
regr_precip,valnit,none,1,144.071276,0.210443699,0.205826411,0.344189584,0.91256887,1,-5.69359777,EastHghlnds,Ecoregion
raw_lasso,train,alpha0.01,35,10.84712686,0.903922445,0.894231626,0.119847449,0.168289869,75.77408478,1.58E-13,EastHghlnds,Ecoregion
raw_lasso,valin,alpha0.01,35,33.75459821,0.693715705,0.662822476,0.226012723,0.296870528,76.65218362,-7.311578696,EastHghlnds,Ecoregion
raw_lasso,valnit,alpha0.01,35,140.0065823,0.23271951,0.036698947,0.295133974,0.899603581,229.1423787,-9.357499085,EastHghlnds,Ecoregion
raw_mlr,train,forwardklim80,14,11.82769539,0.895237138,0.891251595,0.125281432,0.17573193,4.761579872,1.76E-14,EastHghlnds,Ecoregion
raw_mlr,valin,forwardklim80,14,34.74634308,0.684716757,0.672722286,0.23375165,0.301200137,4.731257106,-7.711514127,EastHghlnds,Ecoregion
raw_mlr,valnit,forwardklim80,14,138.0812477,0.243270954,0.176219013,0.305330786,0.893396609,6.018231575,-9.954830191,EastHghlnds,Ecoregion
strd_lasso,train,alpha0.01,30,11.35939413,0.899385079,0.890809944,0.123276765,0.172217864,40.90611662,-7.49E-15,EastHghlnds,Ecoregion
strd_lasso,valin,alpha0.01,30,33.43376604,0.696626889,0.670771226,0.227744398,0.295456305,41.39164378,-7.260789011,EastHghlnds,Ecoregion
strd_lasso,valnit,alpha0.01,30,139.4021668,0.236031899,0.074630187,0.294470366,0.897659664,40.0117404,-9.696020524,EastHghlnds,Ecoregion
strd_mlr,train,forwardklim80,14,11.82769539,0.895237138,0.891251595,0.125281432,0.17573193,4.761579872,1.76E-14,EastHghlnds,Ecoregion
strd_mlr,valin,forwardklim80,14,21.39970857,0.805822169,0.798434969,0.180387853,0.236376633,4.731257106,-8.31E-15,EastHghlnds,Ecoregion
strd_mlr,valnit,forwardklim80,14,96.32217575,0.472123917,0.425350087,0.363604966,0.746173963,6.018231575,6.38E-14,EastHghlnds,Ecoregion
strd_PCA_lasso,train,alpha0.01nc32,23,18.70201781,0.83434838,0.823735602,0.161171988,0.220975867,1,-1.03E-14,EastHghlnds,Ecoregion
strd_PCA_lasso,valin,alpha0.01nc32,23,45.03594713,0.591350392,0.565169498,0.266855279,0.342910089,1.023230071,-7.089814332,EastHghlnds,Ecoregion
strd_PCA_lasso,valnit,alpha0.01nc32,23,645.7579266,-2.538958314,-3.08524047,0.51620854,1.932020905,3485.675743,-22.75986404,EastHghlnds,Ecoregion
strd_PCA_mlr,train,alpha0.01nc32,18,19.41950853,0.827993264,0.819487436,0.165947061,0.225174771,1,-1.04E-14,EastHghlnds,Ecoregion
strd_PCA_mlr,valin,alpha0.01nc32,18,46.22147781,0.58059306,0.559853156,0.269931421,0.34739417,1.018774089,-7.075837514,EastHghlnds,Ecoregion
strd_PCA_mlr,valnit,alpha0.01nc32,18,1909.123971,-9.462605058,-10.68550695,0.689304768,3.321957055,1521.370605,-32.02390096,EastHghlnds,Ecoregion
regr_precip,train,none,1,61.98080097,0.273340596,0.271642794,0.295004025,0.379659581,1,1.42E-14,SEPlains,Ecoregion
regr_precip,valin,none,1,120.4006356,0.080611497,0.078463393,0.452385654,0.529151659,1,4.274572279,SEPlains,Ecoregion
regr_precip,valnit,none,1,204.9776354,0.050218574,0.045759507,0.426758665,0.976414026,1,-11.91979873,SEPlains,Ecoregion
raw_lasso,train,alpha0.01,42,16.32019331,0.808662977,0.787897719,0.130744245,0.194817704,166.1186226,8.18E-15,SEPlains,Ecoregion
raw_lasso,valin,alpha0.01,42,45.91310422,0.649404009,0.611354832,0.259672066,0.326763922,137.776302,6.442799882,SEPlains,Ecoregion
